accession.mi	accession.mimat
MI0000539	MIMAT0000507
MI0000540	MIMAT0000508
MI0000541	MIMAT0000509
MI0000542	MIMAT0000510
MI0000544	MIMAT0000511
MI0000545	MIMAT0000512
MI0000546	MIMAT0017010
MI0000547	MIMAT0000514
MI0000548	MIMAT0000514
MI0000549	MIMAT0000515
MI0000550	MIMAT0004617
MI0000551	MIMAT0000517
MI0000552	MIMAT0000518
MI0000553	MIMAT0000518
MI0000554	MIMAT0004619
MI0000555	MIMAT0017014
MI0000556	MIMAT0000521
MI0000557	MIMAT0000521
MI0000558	MIMAT0000522
MI0000559	MIMAT0000523
MI0000560	MIMAT0000523
MI0000561	MIMAT0000524
MI0000562	MIMAT0000525
MI0000563	MIMAT0000525
MI0000564	MIMAT0000526
MI0000565	MIMAT0000527
MI0000566	MIMAT0000527
MI0000567	MIMAT0000528
MI0000568	MIMAT0000529
MI0000569	MIMAT0000530
MI0000570	MIMAT0004629
MI0000571	MIMAT0017019
MI0000572	MIMAT0005440
MI0000573	MIMAT0000533
MI0000575	MIMAT0000534
MI0000576	MIMAT0004631
MI0000577	MIMAT0004632
MI0000578	MIMAT0004633
MI0000579	MIMAT0000538
MI0000580	MIMAT0004635
MI0000581	MIMAT0000540
MI0000583	MIMAT0000541
MI0000584	MIMAT0000542
MI0000585	MIMAT0000209
MI0000586	MIMAT0000545
MI0000587	MIMAT0017024
MI0000588	MIMAT0017025
MI0000589	MIMAT0001619
MI0000590	MIMAT0000548
MI0000591	MIMAT0004637
MI0000592	MIMAT0004638
MI0000593	MIMAT0017026
MI0000594	MIMAT0000553
MI0000595	MIMAT0000555
MI0000596	MIMAT0000557
MI0000597	MIMAT0000558
MI0000598	MIMAT0017027
MI0000599	MIMAT0017028
MI0000600	MIMAT0000561
MI0000601	MIMAT0000562
MI0000602	MIMAT0017029
MI0000603	MIMAT0017030
MI0000604	MIMAT0017031
MI0000605	MIMAT0017032
MI0000606	MIMAT0004641
MI0000607	MIMAT0004642
MI0000608	MIMAT0017033
MI0000609	MIMAT0004643
MI0000611	MIMAT0000573
MI0000612	MIMAT0000575
MI0000613	MIMAT0000576
MI0000614	MIMAT0017035
MI0000615	MIMAT0004644
MI0000616	MIMAT0004645
MI0000617	MIMAT0017036
MI0000618	MIMAT0004646
MI0000619	MIMAT0004647
MI0000620	MIMAT0000583
MI0000621	MIMAT0000584
MI0000622	MIMAT0004650
MI0000623	MIMAT0004651
MI0000624	MIMAT0000587
MI0000625	MIMAT0017037
MI0000626	MIMAT0004652
MI0000627	MIMAT0004653
MI0000628	MIMAT0000591
MI0000629	MIMAT0004654
MI0000630	MIMAT0017038
MI0000631	MIMAT0000594
MI0000632	MIMAT0000595
MI0000633	MIMAT0000596
MI0000634	MIMAT0000597
MI0000635	MIMAT0000598
MI0000636	MIMAT0000599
MI0000637	MIMAT0000600
MI0000638	MIMAT0000602
MI0000639	MIMAT0000604
MI0000640	MIMAT0017040
MI0000641	MIMAT0000606
MI0000642	MIMAT0000608
MI0000643	MIMAT0000609
MI0000644	MIMAT0000610
MI0000645	MIMAT0000611
MI0000646	MIMAT0000612
MI0000647	MIMAT0000613
MI0000648	MIMAT0017045
MI0000649	MIMAT0017046
MI0000650	MIMAT0004657
MI0000651	MIMAT0031892
MI0000652	MIMAT0017047
MI0000653	MIMAT0000618
MI0000654	MIMAT0000619
MI0000655	MIMAT0000620
MI0000656	MIMAT0000621
MI0000657	MIMAT0000622
MI0000658	MIMAT0000623
MI0000659	MIMAT0000624
MI0000660	MIMAT0031156
MI0000661	MIMAT0000626
MI0000662	MIMAT0000627
MI0000663	MIMAT0000628
MI0000664	MIMAT0000629
MI0000665	MIMAT0000630
MI0000666	MIMAT0000631
MI0000667	MIMAT0000632
MI0000668	MIMAT0000633
MI0000669	MIMAT0000634
MI0000670	MIMAT0022855
MI0000671	MIMAT0022856
MI0000672	MIMAT0022857
MI0000673	MIMAT0022858
MI0000674	MIMAT0022859
MI0000675	MIMAT0000640
MI0000676	MIMAT0000641
MI0000677	MIMAT0000642
MI0000678	MIMAT0000643
MI0000679	MIMAT0000644
MI0000680	MIMAT0000645
MI0000681	MIMAT0000646
MI0000683	MIMAT0000257
MI0000684	MIMAT0017048
MI0000685	MIMAT0000648
MI0000687	MIMAT0000649
MI0000688	MIMAT0004660
MI0000689	MIMAT0017049
MI0000690	MIMAT0000653
MI0000691	MIMAT0000654
MI0000692	MIMAT0000655
MI0000693	MIMAT0000656
MI0000694	MIMAT0004663
MI0000695	MIMAT0017052
MI0000696	MIMAT0017053
MI0000697	MIMAT0000210
MI0000698	MIMAT0004664
MI0000699	MIMAT0000662
MI0000700	MIMAT0000663
MI0000701	MIMAT0000663
MI0000702	MIMAT0000664
MI0000703	MIMAT0017056
MI0000704	MIMAT0017057
MI0000706	MIMAT0000533
MI0000707	MIMAT0000667
MI0000708	MIMAT0000668
MI0000709	MIMAT0017060
MI0000710	MIMAT0017061
MI0000711	MIMAT0000671
MI0000712	MIMAT0017063
MI0000713	MIMAT0000229
MI0000714	MIMAT0000672
MI0000715	MIMAT0000147
MI0000716	MIMAT0004527
MI0000717	MIMAT0004527
MI0000718	MIMAT0017065
MI0000719	MIMAT0017066
MI0000720	MIMAT0000142
MI0000721	MIMAT0000142
MI0000722	MIMAT0000150
MI0000723	MIMAT0000673
MI0000724	MIMAT0000674
MI0000725	MIMAT0000136
MI0000726	MIMAT0017069
MI0000727	MIMAT0031095
MI0000728	MIMAT0000677
MI0000729	MIMAT0000677
MI0000730	MIMAT0000678
MI0000731	MIMAT0000679
MI0000732	MIMAT0000460
MI0000733	MIMAT0000224
MI0000734	MIMAT0000680
MI0000735	MIMAT0004673
MI0000736	MIMAT0000244
MI0000737	MIMAT0001620
MI0000738	MIMAT0000683
MI0000739	MIMAT0000099
MI0000740	MIMAT0000276
MI0000741	MIMAT0000664
MI0000742	MIMAT0000685
MI0000743	MIMAT0000686
MI0000744	MIMAT0002890
MI0000745	MIMAT0022696
MI0000746	MIMAT0000689
MI0000747	MIMAT0000690
MI0000748	MIMAT0004680
MI0000749	MIMAT0000692
MI0000750	MIMAT0000082
MI0000751	MIMAT0000694
MI0000753	MIMAT0031894
MI0000754	MIMAT0000697
MI0000755	MIMAT0000698
MI0000756	MIMAT0020343
MI0000757	MIMAT0015120
MI0000758	MIMAT0000701
MI0000759	MIMAT0015121
MI0000760	MIMAT0000703
MI0000761	MIMAT0000704
MI0000762	MIMAT0000705
MI0000763	MIMAT0000706
MI0000764	MIMAT0003385
MI0000765	MIMAT0017076
MI0000767	MIMAT0009199
MI0000768	MIMAT0017077
MI0000769	MIMAT0022833
MI0000772	MIMAT0000714
MI0000773	MIMAT0000716
MI0000774	MIMAT0004685
MI0000775	MIMAT0004686
MI0000776	MIMAT0022861
MI0000777	MIMAT0001621
MI0000778	MIMAT0026483
MI0000779	MIMAT0004687
MI0000780	MIMAT0026484
MI0000781	MIMAT0000725
MI0000782	MIMAT0000727
MI0000783	MIMAT0000728
MI0000784	MIMAT0003386
MI0000785	MIMAT0004689
MI0000786	MIMAT0000731
MI0000787	MIMAT0000733
MI0000788	MIMAT0000734
MI0000789	MIMAT0022862
MI0000790	MIMAT0000737
MI0000791	MIMAT0000738
MI0000792	MIMAT0017078
MI0000793	MIMAT0003387
MI0000794	MIMAT0017079
MI0000795	MIMAT0000742
MI0000796	MIMAT0000743
MI0000797	MIMAT0000744
MI0000798	MIMAT0017081
MI0000799	MIMAT0000747
MI0000800	MIMAT0000748
MI0000801	MIMAT0031896
MI0000802	MIMAT0004692
MI0000803	MIMAT0004693
MI0000804	MIMAT0026486
MI0000805	MIMAT0004694
MI0000806	MIMAT0004695
MI0000807	MIMAT0004696
MI0000808	MIMAT0000756
MI0000809	MIMAT0004697
MI0000810	MIMAT0000758
MI0000811	MIMAT0004699
MI0000812	MIMAT0004700
MI0000813	MIMAT0000761
MI0000814	MIMAT0004701
MI0000815	MIMAT0000764
MI0000816	MIMAT0000765
MI0000817	MIMAT0000766
MI0000818	MIMAT0000767
MI0000819	MIMAT0020344
MI0000820	MIMAT0003473
MI0000821	MIMAT0017083
MI0000822	MIMAT0000770
MI0000823	MIMAT0000673
MI0000824	MIMAT0000771
MI0000825	MIMAT0000772
MI0000826	MIMAT0000773
MI0000827	MIMAT0000774
MI0000828	MIMAT0000774
MI0000829	MIMAT0000775
MI0000830	MIMAT0000776
MI0000831	MIMAT0000776
MI0000832	MIMAT0000777
MI0000833	MIMAT0000778
MI0000834	MIMAT0000778
MI0000835	MIMAT0000779
MI0000836	MIMAT0000606
MI0000837	MIMAT0000780
MI0000838	MIMAT0000781
MI0000839	MIMAT0000781
MI0000840	MIMAT0000781
MI0000841	MIMAT0000782
MI0000842	MIMAT0000783
MI0000843	MIMAT0000784
MI0000844	MIMAT0000785
MI0000845	MIMAT0000786
MI0000846	MIMAT0000787
MI0000847	MIMAT0017096
MI0000848	MIMAT0017097
MI0000849	MIMAT0017098
MI0000850	MIMAT0000790
